ElectronEnergy,Pressure,MagneticField,Efficiency,FinalTemperature,Steps,ReachedTarget,AvgStepEfficiency,SimulationTime,HeatingRate
10.0,1.0e6,0.5,85.05252741643936,807.2677044467235,20,false,85.05252741643936,1.9999999999999998e-5,363385.22233617713
10.0,1.0e6,1.0,85.05252741643936,807.2677044467235,20,false,85.05252741643936,1.9999999999999998e-5,363385.22233617713
10.0,1.0e6,1.5,85.05252741643936,807.2677044467235,20,false,85.05252741643936,1.9999999999999998e-5,363385.22233617713
10.0,1.0e6,2.0,85.05252741643936,807.2677044467235,20,false,85.05252741643936,1.9999999999999998e-5,363385.22233617713
10.0,2.0e6,0.5,85.00769451868523,803.6319367467718,20,false,85.00769451868523,1.9999999999999998e-5,181596.83733858858
10.0,2.0e6,1.0,85.00769451868523,803.6319367467718,20,false,85.00769451868523,1.9999999999999998e-5,181596.83733858858
10.0,2.0e6,1.5,85.00769451868523,803.6319367467718,20,false,85.00769451868523,1.9999999999999998e-5,181596.83733858858
10.0,2.0e6,2.0,85.00769451868523,803.6319367467718,20,false,85.00769451868523,1.9999999999999998e-5,181596.83733858858
10.0,3.0e6,0.5,84.902733745779,802.4183015458278,20,false,84.902733745779,1.9999999999999998e-5,120915.07729139154
10.0,3.0e6,1.0,84.902733745779,802.4183015458278,20,false,84.902733745779,1.9999999999999998e-5,120915.07729139154
10.0,3.0e6,1.5,84.902733745779,802.4183015458278,20,false,84.902733745779,1.9999999999999998e-5,120915.07729139154
10.0,3.0e6,2.0,84.902733745779,802.4183015458278,20,false,84.902733745779,1.9999999999999998e-5,120915.07729139154
10.0,4.0e6,0.5,84.90272865055259,801.8137260505246,20,false,84.90272865055259,1.9999999999999998e-5,90686.30252622826
10.0,4.0e6,1.0,84.90272865055259,801.8137260505246,20,false,84.90272865055259,1.9999999999999998e-5,90686.30252622826
10.0,4.0e6,1.5,84.90272865055259,801.8137260505246,20,false,84.90272865055259,1.9999999999999998e-5,90686.30252622826
10.0,4.0e6,2.0,84.90272865055259,801.8137260505246,20,false,84.90272865055259,1.9999999999999998e-5,90686.30252622826
25.0,3.0e6,0.5,64.41591944872918,804.5869287921051,20,false,64.41591944872918,1.9999999999999998e-5,229346.43960525707
25.0,3.0e6,1.0,64.41591944872918,804.5869287921051,20,false,64.41591944872918,1.9999999999999998e-5,229346.43960525707
25.0,3.0e6,1.5,64.41591944872918,804.5869287921051,20,false,64.41591944872918,1.9999999999999998e-5,229346.43960525707
25.0,3.0e6,2.0,64.41591944872918,804.5869287921051,20,false,64.41591944872918,1.9999999999999998e-5,229346.43960525707
25.0,4.0e6,0.5,64.32256295767733,803.4382029559516,20,false,64.32256295767733,1.9999999999999998e-5,171910.14779758122
25.0,4.0e6,1.0,64.32256295767733,803.4382029559516,20,false,64.32256295767733,1.9999999999999998e-5,171910.14779758122
25.0,4.0e6,1.5,64.32256295767733,803.4382029559516,20,false,64.32256295767733,1.9999999999999998e-5,171910.14779758122
25.0,4.0e6,2.0,64.32256295767733,803.4382029559516,20,false,64.32256295767733,1.9999999999999998e-5,171910.14779758122
25.0,2.0e6,0.5,63.9340758612929,806.8289265108963,20,false,63.9340758612929,1.9999999999999998e-5,341446.32554481406
25.0,2.0e6,1.0,63.9340758612929,806.8289265108963,20,false,63.9340758612929,1.9999999999999998e-5,341446.32554481406
25.0,2.0e6,1.5,63.9340758612929,806.8289265108963,20,false,63.9340758612929,1.9999999999999998e-5,341446.32554481406
25.0,2.0e6,2.0,63.9340758612929,806.8289265108963,20,false,63.9340758612929,1.9999999999999998e-5,341446.32554481406
25.0,1.0e6,0.5,63.90158108274274,813.6509113572196,20,false,63.90158108274274,1.9999999999999998e-5,682545.5678609785
25.0,1.0e6,1.0,63.90158108274274,813.6509113572196,20,false,63.90158108274274,1.9999999999999998e-5,682545.5678609785
25.0,1.0e6,1.5,63.90158108274274,813.6509113572196,20,false,63.90158108274274,1.9999999999999998e-5,682545.5678609785
25.0,1.0e6,2.0,63.90158108274274,813.6509113572196,20,false,63.90158108274274,1.9999999999999998e-5,682545.5678609785
50.0,1.0e6,0.5,40.80231153336062,817.4327059980052,20,false,40.80231153336062,1.9999999999999998e-5,871635.2999002596
50.0,1.0e6,1.0,40.80231153336062,817.4327059980052,20,false,40.80231153336062,1.9999999999999998e-5,871635.2999002596
50.0,1.0e6,1.5,40.80231153336062,817.4327059980052,20,false,40.80231153336062,1.9999999999999998e-5,871635.2999002596
50.0,1.0e6,2.0,40.80231153336062,817.4327059980052,20,false,40.80231153336062,1.9999999999999998e-5,871635.2999002596
50.0,3.0e6,0.5,40.742331852844416,805.8023599331548,20,false,40.742331852844416,1.9999999999999998e-5,290117.9966577388
50.0,3.0e6,1.0,40.742331852844416,805.8023599331548,20,false,40.742331852844416,1.9999999999999998e-5,290117.9966577388
50.0,3.0e6,1.5,40.742331852844416,805.8023599331548,20,false,40.742331852844416,1.9999999999999998e-5,290117.9966577388
50.0,3.0e6,2.0,40.742331852844416,805.8023599331548,20,false,40.742331852844416,1.9999999999999998e-5,290117.9966577388
50.0,4.0e6,0.5,40.74233179571958,804.3517699437643,20,false,40.74233179571958,1.9999999999999998e-5,217588.49718821695
50.0,4.0e6,1.0,40.74233179571958,804.3517699437643,20,false,40.74233179571958,1.9999999999999998e-5,217588.49718821695
50.0,4.0e6,1.5,40.74233179571958,804.3517699437643,20,false,40.74233179571958,1.9999999999999998e-5,217588.49718821695
50.0,4.0e6,2.0,40.74233179571958,804.3517699437643,20,false,40.74233179571958,1.9999999999999998e-5,217588.49718821695
