Time_microseconds,Temperature_K
0.0,800.0
1.0e-6,800.2280706876817
2.0e-6,800.6390842950755
3.0e-6,801.2448344889807
4.0e-6,802.0657071063122
5.0e-6,803.1118498644809
6.0e-6,804.2360909895356
7.000000000000001e-6,805.6741163948615
8.0e-6,807.2677835965203
9.0e-6,809.1851194155505
1.0e-5,811.4031241063637
1.1e-5,813.4934092505146
1.2e-5,815.9028645028886
1.3e-5,818.3712423509453
1.4000000000000001e-5,821.1322641256825
1.5e-5,824.023326254591
1.6e-5,827.1761194302542
1.7e-5,830.4068855148793
1.8e-5,834.0347389044159
1.9e-5,837.9728957549476
2.0e-5,841.841026505412
2.1000000000000002e-5,846.1223847840473
2.2e-5,850.1992166563238
2.3e-5,854.538022492005
2.4e-5,859.3103949087975
2.5e-5,863.9724757119715
2.6e-5,868.5732187209679
2.7e-5,873.2523013571197
2.8000000000000003e-5,878.316667778239
2.9e-5,883.4661911220701
3.0e-5,889.0891693287015
3.1e-5,894.6221814506687
3.2e-5,900.2458707609156
3.3e-5,906.0090775919035
3.4e-5,911.9983948122645
3.5e-5,918.0945732970197
3.6e-5,923.9966004852304
3.7000000000000005e-5,930.3930719596356
3.8e-5,936.8769352504313
3.9e-5,943.2295292840085
4.0e-5,949.8517113234469
4.1e-5,956.2598708264143
4.2000000000000004e-5,963.1349934823575
4.3e-5,970.0825179388981
4.4e-5,976.939506689009
4.5e-5,984.347372197638
4.6e-5,991.7072318256833
4.7e-5,998.5749704905799
4.8e-5,1006.1815587560449
4.9e-5,1013.4774355923773
5.0e-5,1021.074042460075
5.1e-5,1028.6316709071125
5.2e-5,1036.1603434633676
5.300000000000001e-5,1043.410991826138
5.4e-5,1051.0178542261033
5.4999999999999995e-5,1058.6596911618135
5.6000000000000006e-5,1066.4346832271842
5.7e-5,1074.1967595717535
5.8e-5,1081.9805149648255
5.9000000000000004e-5,1089.8044286441843
6.0e-5,1097.9720180937127
6.1e-5,1106.1062607648485
6.2e-5,1113.8848884966203
6.3e-5,1122.0398342557976
6.4e-5,1129.9386696587985
6.500000000000001e-5,1137.8562209880113
6.6e-5,1146.249344718436
6.7e-5,1154.1896948211815
6.8e-5,1162.6585389609588
6.9e-5,1171.039382355792
7.0e-5,1179.4014131569552
7.1e-5,1187.9958075739037
7.2e-5,1196.1420072771177
7.3e-5,1204.313582940965
7.400000000000001e-5,1212.6742357709657
7.500000000000001e-5,1221.0339096094904
7.6e-5,1229.3874823445278
7.7e-5,1237.279373536771
7.8e-5,1245.7717509220065
7.9e-5,1254.1736151441437
8.0e-5,1262.394479544765
8.1e-5,1270.7448273994464
8.2e-5,1279.0957945478006
8.300000000000001e-5,1287.2062490637752
8.400000000000001e-5,1295.4385628047262
8.499999999999999e-5,1303.5628523379764
8.6e-5,1311.7264823927335
8.7e-5,1320.0533205639824
8.8e-5,1328.3410403471007
8.900000000000001e-5,1336.8548741215438
9.0e-5,1345.3152497367107
9.1e-5,1353.7484240433241
9.2e-5,1361.976810733884
9.3e-5,1370.4487814588215
9.4e-5,1378.5358921242018
9.5e-5,1386.8215436767962
9.6e-5,1395.1163705189367
9.700000000000001e-5,1403.5524433245105
9.8e-5,1411.8173878222071
9.900000000000001e-5,1419.9218140411458
0.0001,1428.2105560603172
0.000101,1436.563219318955
0.000102,1444.8174834514662
0.00010300000000000001,1453.3464809467143
0.000104,1461.880764500868
0.000105,1470.285669367901
0.00010600000000000002,1478.816237749655
0.000107,1487.4544721954371
0.000108,1495.8501435610697
0.000109,1504.410010275643
0.00010999999999999999,1512.5522698130014
0.000111,1521.0909761371677
0.00011200000000000001,1529.5460657567942
0.000113,1537.968267340782
0.000114,1546.069292548284
0.000115,1554.9357977122181
0.000116,1563.3311975656738
0.000117,1571.5895568774797
0.00011800000000000001,1579.8829705249009
0.00011899999999999999,1588.3979861162838
0.00012,1596.975680225813
0.00012100000000000001,1605.6191101812212
0.000122,1614.3001821691162
0.000123,1623.0748020828314
0.000124,1631.8312197851594
0.000125,1640.4460298703727
0.000126,1648.845182181832
0.000127,1657.5515546659406
0.000128,1666.2607156603337
0.000129,1675.0806148884678
0.00013000000000000002,1683.4919375993677
0.00013099999999999999,1692.661998023294
0.000132,1701.1338403586176
0.000133,1709.3620288111244
0.000134,1717.8804623721674
0.000135,1726.1055127541804
0.000136,1734.6032047452934
0.000137,1742.9844477618904
0.000138,1751.2367438608333
0.00013900000000000002,1759.3895485831267
0.00014,1767.9373533080675
0.000141,1776.5088413935675
0.000142,1784.9045418374747
0.000143,1793.6302743776127
0.000144,1802.4956294958345
0.000145,1811.107671268994
0.000146,1819.173214631308
0.000147,1827.5202053506143
0.00014800000000000002,1836.160863461411
0.000149,1844.7129603717874
0.00015000000000000001,1853.5565993481978
0.000151,1861.7250996543034
0.000152,1870.152529902085
0.000153,1878.5719377122678
0.000154,1886.8847914935056
0.000155,1895.3590747747328
0.000156,1904.018769101814
0.00015700000000000002,1912.565058204506
0.000158,1920.9281331647244
0.00015900000000000002,1929.536626719885
0.00016,1938.0942483494316
0.000161,1946.0034985138327
0.000162,1954.4628361199154
0.000163,1962.8381372738886
0.000164,1971.1363610540147
0.000165,1979.9722166656595
0.00016600000000000002,1988.1183053624109
0.000167,1996.2683455770668
0.00016800000000000002,2004.6485478728514
0.00016900000000000002,2013.0077988602352
0.00016999999999999999,2021.460756993635
0.000171,2029.6091483746
0.000172,2038.0398238363628
0.000173,2046.682611132389
0.000174,2055.2623997844203
0.000175,2064.0562684450774
0.000176,2072.200082857631
0.000177,2080.5234000566393
