Time_microseconds,Electron_Count,Input_Energy_J,Inelastic_Energy_Transfer_J,Elastic_Energy_Transfer_J,Total_Energy_Transfer_J,Efficiency_percent
0.0007040000000000001,70400,0.80109,0.71136792,0.0018588192338688178,0.7132267392338688,89.03203625481937
0.000705,70500,0.80109,0.70656138,0.0018707893460651003,0.7084321693460651,88.43353048299495
0.000706,70600,0.80109,0.720981,0.0018712496324606975,0.7228522496324606,90.23358794052496
0.000707,70700,0.80109,0.73059408,0.001870567307496487,0.7324646473074965,91.43350276584026
0.0007080000000000001,70800,0.80109,0.70415811,0.001875451809726223,0.7060335618097262,88.13411249794879
0.000709,70900,0.80109,0.7041581100000001,0.0018760748933088762,0.7060341848933089,88.13419027746248
0.00071,71000,0.80109,0.72578754,0.00187832957989983,0.7276658695798999,90.8344717297745
0.0007109999999999999,71100,0.80109,0.7450136999999999,0.0018760658036030323,0.7468897658036029,93.23418914266335
0.000712,71200,0.80109,0.7233842699999999,0.0018844865406980672,0.725268756540698,90.5352403027443
0.000713,71300,0.80109,0.7354006199999998,0.0018867070435961114,0.7372873270435959,92.03551748780752
0.000714,71400,0.80109,0.71617446,0.00188833690219278,0.7180627969021928,89.63572094301003
0.0007149999999999999,71500,0.80109,0.7113679199999998,0.0018908081944501323,0.7132587281944499,89.0360294341432
0.000716,71600,0.80109,0.7257875399999998,0.0018967647128414207,0.7276843047128412,90.8367729859558
0.0007169999999999999,71700,0.80109,0.7209809999999999,0.0019032559524042255,0.7228842559524041,90.2375832868653
0.0007180000000000001,71800,0.80109,0.7041581099999998,0.0018998386856200944,0.7060579486856199,88.13715670968448
0.000719,71900,0.80109,0.7281908099999999,0.0018997126917410716,0.7300905226917409,91.13714098183704
0.00072,72000,0.80109,0.7305940800000001,0.001900295504742978,0.7324943755047432,91.43721373440992
0.000721,72100,0.80109,0.7137711900000001,0.0019058144527827495,0.7156770044527828,89.33790266416327
0.0007220000000000001,72200,0.80109,0.7257875400000002,0.0019094112128246153,0.7276969512128248,90.83835164752367
0.000723,72300,0.80109,0.7113679200000003,0.001909687093116898,0.7132776070931172,89.03838608564078
0.000724,72400,0.80109,0.7113679199999999,0.0019156210253866719,0.7132835410253866,89.0391268178667
0.000725,72500,0.80109,0.70896465,0.0019205667748368263,0.7108852167748368,88.73974419541729
0.000726,72600,0.80109,0.72338427,0.0019213331504376598,0.7253056031504377,90.53983986193698
0.000727,72700,0.80109,0.74020716,0.0019255119439288602,0.7421326719439288,92.64036150043864
0.000728,72800,0.80109,0.74982024,0.0019249978632766354,0.7517452378632766,93.84029732781094
