elastic_energy_J,electron_count,inelastic_energy_J,input_energy_J,Time_microseconds
7.661493633405936e-11,97,2.611633509e-8,2.4032699999999998e-8,0.00047999999999999996
9.402751971434207e-11,104,3.2718598433999996e-8,2.4032699999999998e-8,0.0005
1.0415634265412916e-10,105,2.1184825050000002e-8,2.4032699999999998e-8,0.0005200000000000001
8.014480531818382e-11,105,2.6844045246e-8,2.4032699999999998e-8,0.0005399999999999999
7.581239294059783e-11,114,2.9186752841999996e-8,2.4032699999999998e-8,0.00056
7.213252390912512e-11,116,2.4954113718e-8,2.4032699999999998e-8,0.00058
7.845068039424462e-11,114,2.4131234069999995e-8,2.4032699999999998e-8,0.0006000000000000001
7.742348275119608e-11,95,2.226869982e-8,2.4032699999999998e-8,0.0006199999999999999
6.723858169804811e-11,85,1.8375402419999996e-8,2.4032699999999998e-8,0.0006399999999999999
5.03004821008889e-11,87,2.3649618762000002e-8,2.4032699999999998e-8,0.00066
5.85644465208663e-11,92,2.1615491034e-8,2.4032699999999998e-8,0.00068
4.4264652957913614e-11,99,2.7300185892e-8,2.4032699999999998e-8,0.0006999999999999999
6.721811260567453e-11,109,3.187216674000001e-8,2.4032699999999998e-8,0.0007199999999999999
7.43164035772251e-11,116,2.7953394677999997e-8,2.4032699999999998e-8,0.00074
6.412636515911643e-11,114,3.170249587799999e-8,2.4032699999999998e-8,0.00076
7.733877171598227e-11,116,2.6357142743999997e-8,2.4032699999999998e-8,0.0007799999999999999
9.153209968843342e-11,119,2.6623425059999995e-8,2.4032699999999998e-8,0.0007999999999999999
5.272107542949657e-11,86,2.0044713762e-8,2.4032699999999998e-8,0.00082
3.6048492675697156e-11,77,1.1581358129999997e-8,2.4032699999999998e-8,0.00084
3.286214663033854e-11,81,1.6054804907999997e-8,2.4032699999999998e-8,0.0008599999999999999
2.9997774045500376e-11,81,1.6249950432e-8,2.4032699999999998e-8,0.0008799999999999999
2.6004906344048478e-11,87,2.0575836432e-8,2.4032699999999998e-8,0.0009
3.093248515666154e-11,94,2.2823374536e-8,2.4032699999999998e-8,0.00092
3.505882268984247e-11,94,2.195146818e-8,2.4032699999999998e-8,0.0009399999999999999
4.4690796662212264e-11,93,1.6148051784e-8,2.4032699999999998e-8,0.0009599999999999999
2.6339414399128482e-11,88,1.9003136543999997e-8,2.4032699999999998e-8,0.00098
3.422768339600445e-11,103,1.9964925198000003e-8,2.4032699999999998e-8,0.001
3.392908034957789e-11,86,1.5304984668e-8,2.4032699999999998e-8,0.00102
