x_mm,y_mm,temperature_K
0.0,0.0,800.0
0.0,5.000000000000001,800.0
0.0,10.000000000000002,800.0
0.0,15.0,800.0
0.0,20.000000000000004,800.0
0.0,25.0,800.0
0.0,30.0,800.0
0.0,34.99999999999999,800.0
0.0,40.00000000000001,800.0
0.0,45.00000000000001,800.0
0.0,50.0,800.0
0.0,55.00000000000001,800.0
0.0,60.0,800.0
0.0,65.0,800.0
0.0,69.99999999999999,800.0
0.0,75.00000000000001,800.0
0.0,80.00000000000001,800.0
0.0,85.0,800.0
0.0,90.00000000000001,800.0
0.0,95.0,800.0
5.000000000000001,0.0,800.0
5.000000000000001,5.000000000000001,800.0
5.000000000000001,10.000000000000002,800.0
5.000000000000001,15.0,800.0
5.000000000000001,20.000000000000004,800.0
5.000000000000001,25.0,800.0
5.000000000000001,30.0,800.0
5.000000000000001,34.99999999999999,800.0
5.000000000000001,40.00000000000001,800.0
5.000000000000001,45.00000000000001,800.0
5.000000000000001,50.0,800.0
5.000000000000001,55.00000000000001,800.0
5.000000000000001,60.0,800.0
5.000000000000001,65.0,800.0
5.000000000000001,69.99999999999999,800.0
5.000000000000001,75.00000000000001,800.0
5.000000000000001,80.00000000000001,800.0
5.000000000000001,85.0,800.0
5.000000000000001,90.00000000000001,800.0
5.000000000000001,95.0,800.0
10.000000000000002,0.0,800.0
10.000000000000002,5.000000000000001,800.0
10.000000000000002,10.000000000000002,800.0
10.000000000000002,15.0,800.0
10.000000000000002,20.000000000000004,800.0
10.000000000000002,25.0,800.0
10.000000000000002,30.0,800.0
10.000000000000002,34.99999999999999,800.0
10.000000000000002,40.00000000000001,800.0
10.000000000000002,45.00000000000001,800.0
10.000000000000002,50.0,800.0
10.000000000000002,55.00000000000001,800.0
10.000000000000002,60.0,800.0
10.000000000000002,65.0,800.0
10.000000000000002,69.99999999999999,800.0
10.000000000000002,75.00000000000001,800.0
10.000000000000002,80.00000000000001,800.0
10.000000000000002,85.0,800.0
10.000000000000002,90.00000000000001,800.0
10.000000000000002,95.0,800.0
15.0,0.0,800.0
15.0,5.000000000000001,800.0
