Time_microseconds,Electron_Count,Input_Energy_J,Inelastic_Energy_Transfer_J,Elastic_Energy_Transfer_J,Total_Energy_Transfer_J,Efficiency_percent,Energy_Transfer_Efficiency,Inelastic_Ratio
5e-07,100,16.0218,0.4272693623999999,0.0003631770031334,0.4276325394031334,2.6690667677977564,0.026690667677984586,0.9991507264539775
1e-06,200,16.0218,0.7698875445,0.0007629693633806,0.7706505138633806,4.810012070204247,0.048100120702004805,0.9990099670996705
1.5e-06,300,16.0218,1.1221748829,0.0010450367369546,1.1232199196369546,7.010572592582351,0.07010572592573584,0.9990696062999913
2e-06,386,16.0218,1.4103349668000005,0.001329249823729,1.4116642166237292,8.81089650739511,0.08810896507406966,0.9990583810171885
2.5e-06,463,16.0218,1.6723154295,0.001552464062564,1.6738678935625642,10.447439698183167,0.1044743969817726,0.9990725289202722
3e-06,538,16.0218,1.8533858022000005,0.0018790788758948,1.8552648810758956,11.57962826321342,0.11579628263215717,0.9989871640998209
3.5e-06,608,16.0218,2.0927434833000005,0.0021096499333821,2.094853133233382,13.075017371539408,0.13075017371539915,0.9989929365930653
4e-06,674,16.0218,2.4947464671,0.0022490821081868,2.4969955492081866,15.584987636899756,0.15584987636895897,0.9990992846948007
4.499999999999999e-06,734,16.0218,2.6256445730999998,0.0025158463144433,2.6281604194144426,16.403652644612958,0.16403652644611982,0.9990427348742268
5e-06,797,16.0218,3.0618540998999992,0.0025574160971835,3.064411515997183,19.126512102239783,0.1912651210224309,0.9991654462581696
5.5e-06,856,16.0218,3.4049289033,0.0026439420605755,3.407572845360576,21.26835215369588,0.21268352153694192,0.9992240981541524
6e-06,911,16.0218,3.0875770997999994,0.0030475646053477,3.090624664405347,19.290121362177583,0.19290121362177454,0.9990139324776488
6.5e-06,965,16.0218,3.2302432179,0.0031534711363794,3.233396689036379,20.181232377358,0.20181232377363212,0.999024718758737
7e-06,1014,16.0218,3.877716199499999,0.0031666733793979,3.880882872879397,24.222514779117503,0.24222514779109697,0.9991840327360747
7.5e-06,1070,16.0218,3.5080051535999988,0.0035077589252665,3.5115129125252653,21.917093663160617,0.21917093663166845,0.9990010690512472
8e-06,1122,16.0218,3.8461532535,0.0036208024818269,3.849774055981827,24.02834922407208,0.2402834922406863,0.9990594766266344
8.5e-06,1173,16.0218,4.1425245099,0.0036139642192509,4.146138474119251,25.8781065430772,0.25878106543080376,0.999128354192266
9.000000000000002e-06,1212,16.0218,4.373855269200001,0.0037239646980772,4.377579233898078,27.32264311062652,0.2732264311062476,0.9991493095843382
9.5e-06,1271,16.0218,4.4370692811,0.0039267627426402,4.440996043842641,27.71845887379983,0.27718458873800955,0.9991157923349009
1e-05,1321,16.0218,4.598344719899999,0.0040261588554202,4.602370878755419,28.725679254241843,0.28725679254237474,0.9991251989547377
1.05e-05,1369,16.0218,4.5709794855,0.0041276190365312,4.575107104536531,28.555512517539626,0.2855551251754816,0.9990978093097672
1.1e-05,1415,16.0218,5.1513451578,0.0040950713334369,5.155440229133437,32.17765937119425,0.32177659371190737,0.9992056796022392
1.15e-05,1453,16.0218,5.464499249699999,0.0040580584126264,5.468557308112625,34.13197835519352,0.34131978355194953,0.9992579288861789
1.2000000000000002e-05,1491,16.0218,5.225141568599998,0.0043942622068321,5.22953583080683,32.64012676981692,0.3264012676981881,0.9991597223254605
1.25e-05,1538,16.0218,5.485207426199999,0.0043292168750527,5.489536643075051,34.26292078964632,0.3426292078964318,0.9992113693456235
1.3e-05,1587,16.0218,5.581049833799998,0.0044904285497602,5.585540262349759,34.8621269916623,0.3486212699165986,0.9991960619136471
1.35e-05,1633,16.0218,5.313838253399999,0.0045673522330491,5.318405605633048,33.19480711052644,0.3319480711051847,0.999141217768684
1.4e-05,1667,16.0218,5.625870819299999,0.0046038342693082,5.630474653569308,35.142584812997626,0.35142584813000466,0.9991823363832407
1.45e-05,1707,16.0218,5.657521885199999,0.0046826424396097,5.6622045276396085,35.34062669387338,0.3534062669387715,0.9991730001244653
1.5e-05,1751,16.0218,6.1828206308999984,0.0046582624935422,6.187478893393541,38.61912452653782,0.3861912452654222,0.9992471469278843
1.55e-05,1797,16.0218,6.1501361589,0.0047068037751025,6.154842962675102,38.41542749675189,0.3841542749675506,0.9992352682588905
1.6e-05,1833,16.0218,5.8276173249,0.0049193185953189,5.832536643495319,36.403753907148925,0.3640375390714726,0.9991565730494286
1.6499999999999998e-05,1868,16.0218,5.997592601099999,0.0050299576477051,6.002622558747705,37.46534446034806,0.37465344460345934,0.9991620399919406
1.6999999999999996e-05,1900,16.0218,5.831430513299999,0.0050923330751582,5.836522846375157,36.428633776325846,0.3642863377632449,0.9991275056726077
1.7500000000000002e-05,1950,16.0218,6.022194074999999,0.005147496042071,6.02734157104207,37.61962807576301,0.3761962807575972,0.9991459757205727
1.8000000000000004e-05,1977,16.0218,6.155535505499999,0.0051730991113185,6.160708604611317,38.45203787721985,0.3845203787721303,0.9991603077757246
1.85e-05,2007,16.0218,6.474777881399998,0.0051937623277624,6.47997164372776,40.444716846581215,0.4044471684659502,0.9991984899605557
1.9e-05,2042,16.0218,6.5622809420999975,0.0051627741238982,6.567443716223896,40.99067343385369,0.40990673433845737,0.9992138837655898
1.9500000000000003e-05,2083,16.0218,6.927682123799998,0.005135043436669,6.932817167236667,43.27115035286893,0.43271150352873383,0.9992593135931902
2e-05,2135,16.0218,6.798578459400001,0.0053631457632831,6.803941605163284,42.46677405262421,0.4246677405262383,0.999211758995813
